FieldID,Column,Row2,ID2,Easting,Northing,Year,SampleID,Crop,GrainWeightWet
CookEast,17,A,13,493702.2,5180582.737,2008,,Fallow,
CookEast,17,B,34,493724.0661,5180614.495,2008,,Fallow,
CookEast,18,C,58,493736.5958,5180624.261,2008,,Fallow,
CookEast,18,D,83,493743.2704,5180656.035,2008,,Fallow,
CookEast,19,D,84,493775.1956,5180671.448,2008,,Fallow,
CookEast,18,E,110,493759.1536,5180683.404,2008,,Fallow,
CookEast,19,E,111,493786.6792,5180703.217,2008,,Fallow,
CookEast,20,F,138,493815.873,5180735.19,2008,,Fallow,
CookEast,21,G,164,493829.4772,5180750.955,2008,,Fallow,
CookEast,22,G,165,493861.4158,5180780.147,2008,,Fallow,
CookEast,21,H,190,493846.6092,5180782.718,2008,,Fallow,
CookEast,22,H,191,493878.5476,5180811.911,2008,,Fallow,
CookEast,23,I,216,493895.2942,5180840.452,2008,,Fallow,
CookEast,23,J,241,493923.1888,5180872.205,2008,,Fallow,
CookEast,24,K,264,493924.2093,5180899.984,2008,,Fallow,
CookEast,24,L,287,493945.1571,5180931.744,2008,,Fallow,
CookEast,25,M,313,493981.21,5180954.71,2008,,Fallow,
CookEast,24,J,242,493955.0929,5180868.172,2008,,G B,252
CookEast,25,N,338,493977.9553,5180985.889,2008,,G B,189
CookEast,18,B,35,493755.9527,5180592.46,2008,,G B,184.5
CookEast,20,D,85,493807.105,5180671.637,2008,,G B,184.5
CookEast,19,C,59,493770.7974,5180636.942,2008,,G B,184
CookEast,26,M,314,494013.119,5180956.012,2008,,G B,181
CookEast,25,L,288,493979.787,5180920.051,2008,,G B,176.5
CookEast,24,I,217,493927.1984,5180836.419,2008,,G B,174.5
CookEast,20,E,112,493818.5884,5180703.406,2008,,G B,171.5
CookEast,26,K,266,493988.0177,5180892.475,2008,,G B,170.5
CookEast,19,B,36,493785.6022,5180609.693,2008,,G B,151
CookEast,23,G,166,493893.3211,5180776.892,2008,,G B,150.5
CookEast,21,F,139,493847.7654,5180719.155,2008,,G B,128
CookEast,22,F,140,493879.7041,5180748.348,2008,,G B,123.5
CookEast,20,C,60,493800.4308,5180639.863,2008,,G B,120.5
CookEast,25,K,265,493957.4741,5180890.263,2008,,G B,34
CookEast,26,L,289,494008.9652,5180924.235,2008,,G B,11
CookEast,23,H,192,493910.4527,5180808.656,2008,,G B,
CookEast,26,J,244,494016.1704,5180863.394,2008,,S B,459.1535433
CookEast,25,J,243,493986.9922,5180859.362,2008,,S B,428.1496063
CookEast,22,C,62,493862.4421,5180655.297,2008,,S B,422.7362205
CookEast,19,A,14,493768.2885,5180574.293,2008,,S B,414.8622047
CookEast,22,D,87,493870.9368,5180684.795,2008,,S B,411.9094488
CookEast,27,L,290,494040.8736,5180924.759,2008,,S B,405.019685
CookEast,26,I,219,493991.0075,5180828.91,2008,,S B,387.7952756
CookEast,27,K,267,494019.9263,5180892.999,2008,,S B,376.476378
CookEast,21,D,86,493838.9978,5180655.602,2008,,S B,370.0787402
CookEast,25,I,218,493959.0978,5180827.609,2008,,S B,368.6023622
CookEast,24,H,193,493942.3571,5180804.623,2008,,S B,366.6338583
CookEast,21,E,113,493851.8467,5180685.551,2008,,S B,311.515748
CookEast,20,A,15,493797.9223,5180576.303,2008,,S B,243.6023622
CookEast,23,F,141,493911.6096,5180745.093,2008,,S B,236.7125984
CookEast,27,M,315,494042.7511,5180958.356,2008,,S B,211.1220472
CookEast,28,M,316,494076.9279,5180949.503,2008,,S B,206.2007874
CookEast,24,G,167,493925.2257,5180772.86,2008,,S B,200.2952756
CookEast,22,E,114,493882.4199,5180716.564,2008,,S B,182.5787402
CookEast,20,B,37,493819.788,5180608.062,2008,,S B,181.1023622
CookEast,21,C,61,493832.3237,5180623.828,2008,,S B,156.003937
CookEast,23,A,17,493893.6615,5180586.206,2008,,S C,270.6692913
CookEast,29,I,222,494086.744,5180840.594,2008,,S C,215.5511811
CookEast,29,J,247,494114.6377,5180872.347,2008,,S C,210.6299213
CookEast,28,J,246,494082.7116,5180854.155,2008,,S C,199.3110236
CookEast,28,I,221,494054.8177,5180822.401,2008,,S C,196.3582677
CookEast,31,G,174,494148.5791,5180765.637,2008,,S C,186.515748
CookEast,25,D,90,493966.648,5180668.696,2008,,S C,186.023622
CookEast,30,K,270,494115.6366,5180879.014,2008,,S C,173.7204724
CookEast,28,D,93,494062.3704,5180663.489,2008,,S C,166.3385827
CookEast,25,E,117,493978.1305,5180700.466,2008,,S C,161.4173228
CookEast,30,F,148,494134.9467,5180720.09,2008,,S C,157.9724409
CookEast,27,H,196,494038.0756,5180797.638,2008,,S C,148.6220472
CookEast,24,D,89,493935.2029,5180676.141,2008,,S C,139.2716535
CookEast,24,C,64,493928.0742,5180645.733,2008,,S C,134.3503937
CookEast,29,D,94,494094.2976,5180681.682,2008,,S C,125
CookEast,26,F,144,494007.3245,5180733.551,2008,,S C,122.0472441
CookEast,25,F,143,493976.78,5180731.339,2008,,S C,121.5551181
CookEast,30,L,293,494136.5834,5180910.774,2008,,S C,116.6338583
CookEast,27,G,170,494020.9446,5180765.874,2008,,S C,115.6496063
CookEast,29,E,121,494105.7794,5180713.451,2008,,S C,64.96062992
CookEast,23,B,40,493915.5266,5180617.965,2008,,S C,24.11417323
CookEast,30,J,248,494145.1556,5180849.023,2008,,S P,278.5
CookEast,27,D,92,494030.4682,5180670.521,2008,,S P,230
CookEast,26,E,118,494010.0409,5180701.767,2008,,S P,211
CookEast,27,C,67,494023.7952,5180638.747,2008,,S P,207
CookEast,26,C,66,493989.6092,5180640.5,2008,,S P,206
CookEast,30,H,199,494133.7875,5180783.653,2008,,S P,205
CookEast,26,D,91,493998.5585,5180669.998,2008,,S P,202.5
CookEast,30,I,223,494118.6277,5180815.449,2008,,S P,198
CookEast,25,C,65,493959.9746,5180636.922,2008,,S P,196.5
CookEast,31,I,224,494150.5495,5180829.197,2008,,S P,194
CookEast,27,E,119,494044.2265,5180700.47,2008,,S P,188
CookEast,24,B,41,493947.432,5180613.932,2008,,S P,185.5
CookEast,28,E,120,494073.8525,5180695.259,2008,,S P,170.5
CookEast,27,F,145,494039.2338,5180734.075,2008,,S P,163.5
CookEast,29,H,198,494101.9036,5180808.798,2008,,S P,135
CookEast,30,G,173,494116.657,5180751.889,2008,,S P,132
CookEast,28,H,197,494069.9771,5180790.605,2008,,S P,110.5
CookEast,29,F,147,494103.0625,5180745.235,2008,,S P,108.5
CookEast,28,G,171,494052.8464,5180758.841,2008,,S P,108.5
CookEast,29,G,172,494084.773,5180777.034,2008,,S P,95
CookEast,31,K,271,494147.5581,5180892.762,2008,,S P,77.5
CookEast,28,F,146,494071.1357,5180727.042,2008,,S P,47
CookEast,20,R,424,493809.7014,5181116.567,2008,,S W,503.4448819
CookEast,15,N,328,493658.2713,5180984.157,2008,,S W,417.3228346
CookEast,6,C,46,493353.7002,5180640.23,2008,,S W,394.6850394
CookEast,17,P,376,493731.096,5181059.421,2008,,S W,389.2716535
CookEast,19,Q,400,493785.929,5181084.589,2008,,S W,372.0472441
CookEast,19,R,423,493780.1935,5181114.779,2008,,S W,370.0787402
CookEast,10,D,75,493488.0228,5180680.531,2008,,S W,366.1417323
CookEast,7,B,24,493404.9749,5180617.838,2008,,S W,360.7283465
CookEast,15,L,278,493657.9751,5180920.595,2008,,S W,354.3307087
CookEast,16,O,353,493700.4489,5181023.561,2008,,S W,352.8543307
CookEast,11,L,274,493530.3407,5180917.842,2008,,S W,347.9330709
CookEast,17,N,330,493722.0986,5180995.869,2008,,S W,345.4724409
CookEast,13,P,372,493603.457,5181049.555,2008,,S W,341.5354331
CookEast,8,H,177,493431.822,5180805.16,2008,,S W,339.5669291
CookEast,7,F,125,493401.0687,5180744.966,2008,,S W,337.5984252
CookEast,12,L,275,493560.6597,5180928.897,2008,,S W,333.6614173
CookEast,13,N,326,493594.4582,5180986.002,2008,,S W,326.7716535
CookEast,12,M,300,493566.4152,5180959.474,2008,,S W,321.3582677
CookEast,7,A,3,493383.107,5180586.081,2008,,S W,320.3740157
CookEast,9,E,101,493467.5846,5180699.222,2008,,S W,318.8976378
CookEast,6,D,71,493360.3768,5180672.003,2008,,S W,312.5
CookEast,16,N,329,493691.3863,5180990.991,2008,,S W,310.0393701
CookEast,15,M,303,493663.3302,5180951.172,2008,,S W,308.5629921
CookEast,12,J,230,493572.1908,5180864.125,2008,,S W,307.0866142
CookEast,14,L,277,493626.0766,5180929.408,2008,,S W,306.1023622
CookEast,5,D,70,493328.4705,5180674.594,2008,,S W,303.6417323
CookEast,9,C,49,493449.4233,5180635.68,2008,,S W,299.2125984
CookEast,9,H,178,493463.7189,5180794.569,2008,,S W,299.2125984
CookEast,11,M,299,493534.497,5180949.619,2008,,S W,298.2283465
CookEast,12,N,325,493562.5563,5180991.259,2008,,S W,294.7834646
CookEast,7,E,99,493403.7819,5180713.182,2008,,S W,293.3070866
CookEast,8,A,4,493415.013,5180582.712,2008,,S W,287.8937008
CookEast,15,O,352,493670.5327,5181014.328,2008,,S W,287.8937008
CookEast,18,Q,399,493754.006,5181069.176,2008,,S W,282.9724409
CookEast,15,Q,396,493658.2957,5181079.5,2008,,S W,281.003937
CookEast,14,P,373,493635.3715,5181056.522,2008,,S W,280.019685
CookEast,15,K,255,493637.0257,5180888.836,2008,,S W,276.5748031
CookEast,9,D,74,493458.4984,5180665.854,2008,,S W,275.5905512
CookEast,11,N,324,493530.6382,5180981.404,2008,,S W,274.1141732
CookEast,8,C,48,493417.5255,5180646.271,2008,,S W,270.6692913
CookEast,11,K,251,493509.3906,5180886.084,2008,,S W,267.2244094
CookEast,6,E,98,493371.8625,5180703.771,2008,,S W,266.7322835
CookEast,16,P,375,493700.3841,5181054.144,2008,,S W,266.2401575
CookEast,11,G,154,493510.3982,5180758.959,2008,,S W,264.7637795
CookEast,6,A,2,493353.586,5180575.071,2008,,S W,263.7795276
CookEast,16,M,304,493694.0464,5180960.006,2008,,S W,263.2874016
CookEast,6,F,124,493369.1495,5180735.555,2008,,S W,262.7952756
CookEast,5,C,45,493323.2034,5180641.411,2008,,S W,258.8582677
CookEast,14,M,302,493631.4319,5180959.585,2008,,S W,255.9055118
CookEast,10,K,250,493477.501,5180903.009,2008,,S W,253.4448819
CookEast,9,J,227,493478.459,5180856.118,2008,,S W,250.984252
CookEast,10,L,273,493498.4511,5180934.767,2008,,S W,250.492126
CookEast,13,Q,394,493594.9384,5181067.549,2008,,S W,250.492126
CookEast,14,Q,395,493626.398,5181088.312,2008,,S W,249.015748
CookEast,8,G,151,493417.8866,5180770.999,2008,,S W,247.5393701
CookEast,4,B,21,493309.2174,5180591.83,2008,,S W,247.0472441
CookEast,3,B,20,493277.311,5180594.644,2008,,S W,246.0629921
CookEast,8,B,25,493436.8807,5180614.469,2008,,S W,245.5708661
CookEast,14,K,254,493605.1271,5180897.649,2008,,S W,244.0944882
CookEast,2,B,19,493246.5977,5180590.191,2008,,S W,241.6338583
CookEast,4,C,44,493289.8629,5180623.632,2008,,S W,235.7283465
CookEast,13,O,350,493604.7208,5181017.773,2008,,S W,233.2677165
CookEast,11,H,180,493527.5319,5180790.721,2008,,S W,223.9173228
CookEast,10,M,298,493502.6076,5180966.544,2008,,S W,223.9173228
CookEast,10,F,128,493496.7941,5180744.083,2008,,S W,221.9488189
CookEast,12,O,349,493572.819,5181023.029,2008,,S W,217.0275591
CookEast,5,F,123,493337.2435,5180738.147,2008,,S W,216.0433071
CookEast,4,D,69,493296.5399,5180655.406,2008,,S W,214.0748031
CookEast,3,C,43,493257.9566,5180626.446,2008,,S W,212.1062992
CookEast,8,J,226,493445.7627,5180867.109,2008,,S W,209.1535433
CookEast,12,P,371,493570.4942,5181049.809,2008,,S W,207.6771654
CookEast,17,O,354,493732.3605,5181027.639,2008,,S W,204.2322835
CookEast,11,O,348,493540.9011,5181013.174,2008,,S W,198.8188976
CookEast,10,J,228,493508.3822,5180871.195,2008,,S W,191.4370079
CookEast,13,J,231,493604.0934,5180858.868,2008,,S W,183.0708661
CookEast,3,D,68,493264.6337,5180658.22,2008,,S W,181.5944882
CookEast,9,F,127,493466.0706,5180730.206,2008,,S W,181.5944882
CookEast,7,H,176,493398.7136,5180809.416,2008,,S W,181.5944882
CookEast,10,I,203,493480.4853,5180839.444,2008,,S W,181.5944882
CookEast,15,R,419,493648.3558,5181104.302,2008,,S W,180.6102362
CookEast,11,F,129,493528.6847,5180727.158,2008,,S W,176.1811024
CookEast,16,R,420,493681.925,5181110.736,2008,,S W,173.7204724
CookEast,6,G,149,493350.8639,5180767.357,2008,,S W,169.2913386
CookEast,7,G,150,493382.7829,5180776.767,2008,,S W,167.3228346
CookEast,10,E,102,493499.5078,5180712.299,2008,,S W,163.8779528
CookEast,12,I,205,493544.2943,5180832.374,2008,,S W,156.988189
CookEast,18,R,422,493745.8715,5181100.965,2008,,S W,156.496063
CookEast,5,E,97,493339.9564,5180706.363,2008,,S W,155.019685
CookEast,9,K,249,493445.5787,5180889.931,2008,,S W,151.5748031
CookEast,4,F,122,493305.3133,5180718.958,2008,,S W,145.6692913
CookEast,9,I,202,493448.5627,5180826.366,2008,,S W,135.8267717
CookEast,12,G,155,493542.3175,5180768.814,2008,,S W,122.5393701
CookEast,14,I,207,493606.5134,5180835.683,2008,,S W,118.6023622
CookEast,13,I,206,493576.197,5180827.117,2008,,S W,99.40944882
CookEast,12,H,181,493559.451,5180800.577,2008,,S W,95.47244094
CookEast,4,E,96,493308.026,5180687.174,2008,,S W,91.04330709
CookEast,6,H,175,493367.9983,5180799.119,2008,,S W,83.66141732
CookEast,9,L,272,493466.5291,5180921.689,2008,,S W,69.88188976
CookEast,8,I,201,493416.666,5180836.958,2008,,S W,24.60629921
CookEast,1,B,18,493215.0201,5180604.13,2008,,S W,
CookEast,2,C,42,493228.3181,5180622.077,2008,,S W,
CookEast,3,E,95,493276.7264,5180689.078,2008,,S W,
CookEast,7,I,200,493387.3387,5180837.446,2008,,S W,
CookEast,7,J,225,493412.6587,5180872.077,2008,,S W,
CookEast,9,M,297,493470.6857,5180953.466,2008,,S W,
CookEast,10,N,323,493501.3263,5180997.268,2008,,S W,
CookEast,28,K,268,494051.8273,5180885.966,2008,,W B,560.5314961
CookEast,23,C,63,493896.169,5180649.766,2008,,W B,494.0944882
CookEast,29,L,292,494104.7002,5180935.919,2008,,W B,482.7755906
CookEast,27,I,220,494022.9164,5180829.434,2008,,W B,453.2480315
CookEast,27,J,245,494050.8104,5180861.187,2008,,W B,439.4685039
CookEast,26,H,195,494006.1665,5180797.114,2008,,W B,423.7204724
CookEast,23,D,88,493902.8426,5180681.54,2008,,W B,405.511811
CookEast,25,H,194,493976.0776,5180793.536,2008,,W B,405.019685
CookEast,22,A,16,493861.7552,5180589.461,2008,,W B,397.1456693
CookEast,28,L,291,494072.7745,5180917.726,2008,,W B,367.6181102
CookEast,25,G,168,493957.1254,5180764.049,2008,,W B,346.4566929
CookEast,21,B,38,493851.6811,5180592.027,2008,,W B,333.6614173
CookEast,26,G,169,493989.0354,5180765.35,2008,,W B,329.2322835
CookEast,22,B,39,493883.6204,5180621.22,2008,,W B,320.8661417
CookEast,24,F,142,493943.5143,5180741.06,2008,,W B,298.7204724
CookEast,23,E,115,493915.6912,5180711.488,2008,,W B,296.7519685
CookEast,24,E,116,493946.2304,5180709.276,2008,,W B,282.9724409
CookEast,29,K,269,494083.7533,5180904.159,2008,,W B,230.8070866
CookEast,8,E,100,493435.6872,5180709.813,2008,,W C,381.8897638
CookEast,9,G,152,493447.7845,5180761.607,2008,,W C,343.011811
CookEast,8,F,126,493434.1733,5180740.797,2008,,W C,261.3188976
CookEast,10,G,153,493478.5079,5180775.884,2008,,W C,231.2992126
CookEast,13,K,253,493573.2116,5180890.682,2008,,W C,205.2165354
CookEast,14,N,327,493626.3731,5180992.969,2008,,W C,180.1181102
CookEast,15,P,374,493667.2694,5181047.709,2008,,W C,165.3543307
CookEast,14,O,351,493636.6355,5181024.739,2008,,W C,161.4173228
CookEast,13,L,276,493594.1613,5180922.441,2008,,W C,154.0354331
CookEast,13,M,301,493598.3173,5180954.217,2008,,W C,140.2559055
CookEast,5,A,1,493319.2802,5180579.262,2008,,W C,124.015748
CookEast,17,Q,398,493719.7229,5181093.211,2008,,W C,119.0944882
CookEast,12,K,252,493543.7083,5180893.14,2008,,W C,102.3622047
CookEast,11,I,204,493512.3753,5180822.519,2008,,W C,101.8700787
CookEast,16,Q,397,493690.2107,5181087.133,2008,,W C,99.9015748
CookEast,11,J,229,493540.2721,5180854.27,2008,,W C,92.51968504
CookEast,17,R,421,493712.7748,5181114.814,2008,,W C,82.67716535
CookEast,10,H,179,493495.6416,5180807.646,2008,,W C,31.00393701
CookEast,5,B,22,493341.1483,5180611.018,2008,,W C,
CookEast,6,B,23,493371.4556,5180609.627,2008,,W C,
CookEast,7,C,47,493385.6199,5180649.64,2008,,W C,
CookEast,7,D,72,493392.2963,5180681.413,2008,,W C,
CookEast,8,D,73,493421.8027,5180680.044,2008,,W C,
CookEast,19,O,356,493796.1682,5181021.016,2008,,W W,561.515748
