,,,,m,m,,,,g
FieldID,Column,Row2,ID2,Northing,Easting,Year,SampleID,Crop,GrainWeightWet
CookEast,5,A,1,5180579.262,493319.2802,2008,,winter canola,252
CookEast,6,A,2,5180575.071,493353.586,2008,,spring wheat,536
CookEast,7,A,3,5180586.081,493383.107,2008,,spring wheat,651
CookEast,8,A,4,5180582.712,493415.013,2008,,spring wheat,585
CookEast,9,A,5,5180572.12,493446.9111,2008,,winter wheat,688
CookEast,10,A,6,5180583.999,493479.2349,2008,,winter wheat,827
CookEast,11,A,7,5180568.273,493510.7264,2008,,winter wheat,547
CookEast,12,A,8,5180578.128,493542.6467,2008,,winter wheat,724
CookEast,13,A,9,5180572.871,493574.5508,2008,,winter wheat,709
CookEast,14,A,10,5180579.838,493606.4679,2008,,winter wheat,637
CookEast,15,A,11,5180571.025,493638.3683,2008,,winter wheat,496
CookEast,16,A,12,5180579.114,493668.4667,2008,,winter wheat,699
CookEast,17,A,13,5180582.737,493702.2,2008,,Fallow,
CookEast,19,A,14,5180574.293,493768.2885,2008,,spring barley,843
CookEast,20,A,15,5180576.303,493797.9223,2008,,spring barley,495
CookEast,22,A,16,5180589.461,493861.7552,2008,,winter barley,807
CookEast,23,A,17,5180586.206,493893.6615,2008,,spring canola,550
CookEast,1,B,18,5180604.13,493215.0201,2008,,spring wheat,
CookEast,2,B,19,5180590.191,493246.5977,2008,,spring wheat,491
CookEast,3,B,20,5180594.644,493277.311,2008,,spring wheat,500
CookEast,4,B,21,5180591.83,493309.2174,2008,,spring wheat,502
CookEast,5,B,22,5180611.018,493341.1483,2008,,winter canola,
CookEast,6,B,23,5180609.627,493371.4556,2008,,winter canola,
CookEast,7,B,24,5180617.838,493404.9749,2008,,spring wheat,733
CookEast,8,B,25,5180614.469,493436.8807,2008,,spring wheat,499
CookEast,9,B,26,5180603.878,493468.7786,2008,,winter wheat,793
CookEast,10,B,27,5180616.156,493502.3017,2008,,winter wheat,871
CookEast,11,B,28,5180600.03,493532.5936,2008,,winter wheat,871
CookEast,12,B,29,5180609.886,493564.5137,2008,,winter wheat,792
CookEast,13,B,30,5180604.629,493596.4176,2008,,winter wheat,806
CookEast,14,B,31,5180611.596,493628.3346,2008,,winter wheat,813
CookEast,15,B,32,5180602.783,493660.2348,2008,,winter wheat,846
CookEast,16,B,33,5180610.417,493692.1523,2008,,winter wheat,504
CookEast,17,B,34,5180614.495,493724.0661,2008,,Fallow,
CookEast,18,B,35,5180592.46,493755.9527,2008,,Garbonzo Beans,369
CookEast,19,B,36,5180609.693,493785.6022,2008,,Garbonzo Beans,302
CookEast,20,B,37,5180608.062,493819.788,2008,,spring barley,368
CookEast,21,B,38,5180592.027,493851.6811,2008,,winter barley,678
CookEast,22,B,39,5180621.22,493883.6204,2008,,winter barley,652
CookEast,23,B,40,5180617.965,493915.5266,2008,,spring canola,49
CookEast,24,B,41,5180613.932,493947.432,2008,,spring pea,371
CookEast,2,C,42,5180622.077,493228.3181,2008,,spring wheat,
CookEast,3,C,43,5180626.446,493257.9566,2008,,spring wheat,431
CookEast,4,C,44,5180623.632,493289.8629,2008,,spring wheat,479
CookEast,5,C,45,5180641.411,493323.2034,2008,,spring wheat,526
CookEast,6,C,46,5180640.23,493353.7002,2008,,spring wheat,802
CookEast,7,C,47,5180649.64,493385.6199,2008,,winter canola,
CookEast,8,C,48,5180646.271,493417.5255,2008,,spring wheat,550
CookEast,9,C,49,5180635.68,493449.4233,2008,,spring wheat,608
CookEast,10,C,50,5180644.888,493485.6536,2008,,winter wheat,710
CookEast,11,C,51,5180631.032,493514.0376,2008,,winter wheat,909
CookEast,12,C,52,5180641.688,493545.1579,2008,,winter wheat,878
CookEast,13,C,53,5180636.431,493577.0616,2008,,winter wheat,810
CookEast,14,C,54,5180643.397,493608.9784,2008,,winter wheat,566
