"FieldID","Column","Row2","ID2","Northing","Easting","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",1,"B",18,5180604.13,493215.0201,1999,NA,"SW",560.64,1,"A",653.862,0.857428631729631
"CookEast",2,"C",42,5180622.077,493228.3181,1999,NA,"SW",706.69,1,"A",653.862,1.08079380664422
"CookEast",3,"C",43,5180626.446,493257.9566,1999,NA,"SW",714.13,1,"A",653.862,1.09217235441118
"CookEast",3,"D",68,5180658.22,493264.6337,1999,NA,"SW",615.07,1,"A",653.862,0.940672496643023
"CookEast",3,"E",95,5180689.078,493276.7264,1999,NA,"SW",589.31,1,"A",653.862,0.901275804374623
"CookEast",4,"E",96,5180687.174,493308.026,1999,NA,"SW",684.87,1,"A",653.862,1.04742285069327
"CookEast",4,"F",122,5180718.958,493305.3133,1999,NA,"SW",736.65,1,"A",653.862,1.12661387265203
"CookEast",5,"F",123,5180738.147,493337.2435,1999,NA,"SW",701.43,1,"A",653.862,1.07274929572295
"CookEast",6,"G",149,5180767.357,493350.8639,1999,NA,"SW",921.44,1,"A",653.862,1.4092270234392
"CookEast",6,"H",175,5180799.119,493367.9983,1999,NA,"SW",825.91,1,"A",653.862,1.26312585836155
"CookEast",7,"H",176,5180809.416,493398.7136,1999,NA,"SW",712.15,1,"A",653.862,1.08914419250545
"CookEast",7,"I",200,5180837.446,493387.3387,1999,NA,"SW",691.91,1,"A",653.862,1.05818964858028
"CookEast",8,"I",201,5180836.958,493416.666,1999,NA,"SW",441.66,1,"A",653.862,0.675463629940263
"CookEast",7,"J",225,5180872.077,493412.6587,1999,NA,"SW",557.56,1,"A",653.862,0.852718157654062
"CookEast",9,"K",249,5180889.931,493445.5787,1999,NA,"SW",803.07,1,"A",653.862,1.22819494021674
"CookEast",9,"L",272,5180921.689,493466.5291,1999,NA,"SW",934.02,1,"A",653.862,1.42846655716344
"CookEast",9,"M",297,5180953.466,493470.6857,1999,NA,"SW",364.16,1,"A",653.862,0.556937090701096
"CookEast",10,"N",323,5180997.268,493501.3263,1999,NA,"SW",392.37,1,"A",653.862,0.600080750984153
"CookEast",11,"O",348,5181013.174,493540.9011,1999,NA,"SW",741.61,1,"A",653.862,1.13419957116333
"CookEast",12,"P",371,5181049.809,493570.4942,1999,NA,"SW",382.59,1,"A",653.862,0.58512346641952
"CookEast",2,"B",19,5180590.191,493246.5977,1999,NA,"SW",409.23,2,"A",546.446315789474,0.748893327991
"CookEast",3,"B",20,5180594.644,493277.311,1999,NA,"SW",394.62,2,"A",546.446315789474,0.72215694130882
"CookEast",4,"C",44,5180623.632,493289.8629,1999,NA,"SW",462.95,2,"A",546.446315789474,0.847201246715621
"CookEast",4,"D",69,5180655.406,493296.5399,1999,NA,"SW",490.93,2,"A",546.446315789474,0.898404812722972
"CookEast",5,"D",70,5180674.594,493328.4705,1999,NA,"SW",528.56,2,"A",546.446315789474,0.967267935984466
"CookEast",5,"E",97,5180706.363,493339.9564,1999,NA,"SW",541.83,2,"A",546.446315789474,0.99155211471633
"CookEast",6,"F",124,5180735.555,493369.1495,1999,NA,"SW",522.13,2,"A",546.446315789474,0.955500997834814
"CookEast",7,"G",150,5180776.767,493382.7829,1999,NA,"SW",691.78,2,"A",546.446315789474,1.26596150438046
"CookEast",8,"H",177,5180805.16,493431.822,1999,NA,"SW",540.44,2,"A",546.446315789474,0.98900840646936
"CookEast",9,"I",202,5180826.366,493448.5627,1999,NA,"SW",440.13,2,"A",546.446315789474,0.805440511322921
"CookEast",8,"J",226,5180867.109,493445.7627,1999,NA,"SW",635.97,2,"A",546.446315789474,1.16382887325572
"CookEast",10,"K",250,5180903.009,493477.501,1999,NA,"SW",536.09,2,"A",546.446315789474,0.981047880660497
"CookEast",10,"L",273,5180934.767,493498.4511,1999,NA,"SW",865.08,2,"A",546.446315789474,1.58310153258181
"CookEast",11,"M",299,5180949.619,493534.497,1999,NA,"SW",691.45,2,"A",546.446315789474,1.26535760242254
